,ID,rodata,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado,chutes_mandante,chutes_no_alvo_mandante,posse_de_bola_mandante,passes_mandante,precisao_passes_mandante,faltas_mandante,cartao_amarelo_mandante,cartao_vermelho_mandante,impedimentos_mandante,escanteios_mandante,chutes_visitante,chutes_no_alvo_visitante,posse_de_bola_visitante,passes_visitante,precisao_passes_visitante,faltas_visitante,cartao_amarelo_visitante,cartao_vermelho_visitante,impedimentos_visitante,escanteios_visitante
1551,6545,4,12/5/2019,19:00,Fortaleza,Sao Paulo,4-4-2,4-3-3,R. Ceni,A. Stival,Sao Paulo,Arena Castelão,0,1,CE,SP,12.0,3.0,53%,478.0,87%,12.0,2.0,0.0,2.0,6.0,8.0,2.0,47%,430.0,87%,14.0,2.0,0.0,0.0,4.0
1552,6546,5,18/5/2019,18:00,Fluminense,Cruzeiro,4-1-4-1,4-2-3-1,F. Diniz Silva,L. Venker de Menezes,Fluminense, Maracanã,4,1,RJ,MG,24.0,11.0,54%,501.0,87%,20.0,3.0,0.0,0.0,10.0,4.0,3.0,46%,442.0,80%,12.0,2.0,0.0,1.0,2.0
1553,6547,5,18/5/2019,19:01,Palmeiras,Santos,4-2-3-1,3-5-2,L. Scolari,J. Sampaoli Moya,Palmeiras,Estádio Municipal Paulo Machado de Carvalho,4,0,SP,SP,17.0,8.0,33%,245.0,68%,23.0,2.0,0.0,0.0,5.0,13.0,4.0,67%,479.0,83%,19.0,4.0,0.0,1.0,5.0
1554,6548,5,18/5/2019,19:00,Atletico-MG,Flamengo,4-2-3-1,4-2-3-1,R. Marques Santana,A. da Silva Braga,Atletico-MG,Estádio Raimundo Sampaio,2,1,MG,RJ,11.0,5.0,33%,255.0,73%,11.0,3.0,1.0,0.0,2.0,24.0,10.0,67%,488.0,84%,8.0,1.0,0.0,0.0,18.0
1555,6549,5,19/5/2019,11:02,Sao Paulo,Bahia,4-2-3-1,4-3-3,A. Stival,R. Machado Marques,-, Morumbi,0,0,SP,BA,11.0,3.0,58%,512.0,86%,9.0,1.0,1.0,3.0,4.0,17.0,2.0,42%,371.0,77%,19.0,3.0,0.0,1.0,6.0
1556,6550,5,19/5/2019,16:01,Internacional,CSA,4-3-1-2,4-2-3-1,O. Hellmann,M. Ribeiro Cabo,Internacional,Estádio José Pinheiro Borda,2,0,RS,AL,14.0,7.0,63%,601.0,86%,11.0,2.0,0.0,4.0,4.0,12.0,5.0,37%,342.0,77%,9.0,3.0,0.0,2.0,3.0
1557,6551,5,19/5/2019,16:00,Athletico-PR,Corinthians,4-4-2,4-2-3-1,T. Retzalff Nunes,F. Carille,Corinthians,Estádio Joaquim Américo Guimarães,0,2,PR,SP,23.0,5.0,63%,583.0,88%,16.0,1.0,0.0,3.0,11.0,4.0,2.0,37%,362.0,81%,12.0,4.0,0.0,1.0,3.0
1558,6552,5,19/5/2019,16:01,Goias,Botafogo-RJ,4-2-3-1,4-1-4-1,C. dos Santos Oliveira,E. de Souza Barroca,Goias,Estádio do Governo do Estado de Goiás (Serra Dourada),1,0,GO,RJ,19.0,6.0,31%,238.0,78%,18.0,1.0,0.0,7.0,9.0,6.0,2.0,69%,571.0,87%,14.0,3.0,0.0,0.0,3.0
1559,6553,5,19/5/2019,16:00,Chapecoense,Fortaleza,4-1-4-1,4-4-2,N. da Silveira Júnior,R. Ceni,Fortaleza,Arena Condá,1,3,SC,CE,19.0,4.0,53%,419.0,83%,16.0,1.0,0.0,0.0,9.0,12.0,8.0,47%,395.0,77%,12.0,1.0,0.0,2.0,4.0
1560,6554,5,19/5/2019,18:59,Vasco,Avai,4-2-3-1,4-1-4-1,V. Luxemburgo da Silva,E. Machado Souto,-,Estádio Vasco da Gama,1,1,RJ,SC,11.0,2.0,51%,368.0,75%,16.0,1.0,0.0,3.0,5.0,18.0,6.0,49%,348.0,75%,14.0,2.0,0.0,3.0,10.0
1561,6555,5,19/5/2019,19:00,Ceara,Gremio,4-4-2,4-2-3-1,E. Alves Moreira,Renato Gaúcho,Ceara,Arena Castelão,2,1,CE,RS,6.0,1.0,36%,281.0,69%,14.0,3.0,0.0,2.0,2.0,17.0,4.0,64%,493.0,85%,16.0,6.0,0.0,1.0,7.0
1562,6556,6,25/5/2019,16:00,Botafogo-RJ,Palmeiras,4-1-4-1,4-2-3-1,E. de Souza Barroca,L. Scolari,Palmeiras,Estádio Nacional de Brasília,0,1,RJ,SP,8.0,2.0,63%,444.0,84%,13.0,10.0,0.0,0.0,0.0,17.0,2.0,37%,254.0,70%,19.0,0.0,0.0,6.0,8.0
1563,6557,6,25/5/2019,19:00,Gremio,Atletico-MG,4-2-3-1,4-2-3-1,Renato Gaúcho,R. Marques Santana,Gremio,Arena do Grêmio,1,0,RS,MG,24.0,8.0,57%,570.0,88%,10.0,1.0,0.0,0.0,13.0,9.0,5.0,43%,437.0,81%,14.0,4.0,0.0,0.0,4.0
1564,6558,6,26/5/2019,16:02,Flamengo,Athletico-PR,4-1-4-1,4-4-2,A. da Silva Braga,T. Retzalff Nunes,Flamengo, Maracanã,3,2,RJ,PR,11.0,4.0,49%,392.0,76%,16.0,4.0,0.0,2.0,9.0,12.0,5.0,51%,412.0,79%,21.0,3.0,0.0,0.0,2.0
1565,6559,6,26/5/2019,16:01,Santos,Internacional,4-3-3,4-1-4-1,J. Sampaoli Moya,O. Hellmann,-,Estádio Urbano Caldeira,0,0,SP,RS,11.0,4.0,63%,517.0,82%,19.0,5.0,0.0,0.0,7.0,15.0,1.0,37%,316.0,74%,19.0,5.0,0.0,3.0,4.0
1566,6560,6,26/5/2019,19:00,Fortaleza,Vasco,4-4-2,4-2-3-1,R. Ceni,V. Luxemburgo da Silva,-,Arena Castelão,1,1,CE,RJ,12.0,3.0,62%,539.0,88%,9.0,1.0,0.0,0.0,2.0,14.0,2.0,38%,337.0,83%,12.0,2.0,0.0,0.0,5.0
1567,6561,6,26/5/2019,19:00,Cruzeiro,Chapecoense,4-1-4-1,4-4-1-1,L. Venker de Menezes,N. da Silveira Júnior,Chapecoense,Estádio Raimundo Sampaio,1,2,MG,SC,18.0,3.0,65%,559.0,84%,13.0,1.0,0.0,1.0,8.0,10.0,5.0,35%,313.0,71%,11.0,3.0,0.0,0.0,2.0
